"Timestamp","AppName","AppPackage","AppUid","In interface","Out interface","Source","Source Port","Destination","Destination Port","Length"
"2021-03-10 21:00:02.484","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:02.484","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:02.484","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:02.484","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","1500"
"2021-03-10 21:00:02.485","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:02.485","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","507"
"2021-03-10 21:00:02.485","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","52"
"2021-03-10 21:00:02.486","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.486","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","1486"
"2021-03-10 21:00:02.486","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","52"
"2021-03-10 21:00:02.487","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","52"
"2021-03-10 21:00:02.487","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","265"
"2021-03-10 21:00:02.487","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.488","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","280"
"2021-03-10 21:00:02.488","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","1490"
"2021-03-10 21:00:02.488","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","1490"
